enrollee_id,city_development_index,gender,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,major_Arts,major_Business Degree,major_Humanities,major_No Major,major_Other,major_STEM,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd
12800,0.92,1.0,1,1.0,3,16.0,1.0,1.0,46,0,0,0,0,0,1,0,0,0,0,0,1
6022,0.91,1.0,1,0.0,3,21.0,1.0,5.0,60,0,0,0,0,0,1,0,0,0,0,0,1
15245,0.92,0.5,1,0.0,5,20.0,7.0,1.0,22,0,0,0,0,0,1,0,0,0,0,0,1
7724,0.92,1.0,1,0.0,4,21.0,7.0,1.0,38,0,0,0,0,0,1,0,0,0,0,0,0
31087,0.913,1.0,0,1.0,3,6.0,7.0,4.0,9,0,0,0,0,0,1,0,0,0,0,0,1
21295,0.624,1.0,0,0.0,2,10.0,3.2533282904689864,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0
2314,0.926,0.5,0,0.0,4,7.0,7.0,1.0,19,0,0,0,0,1,0,0,0,0,0,0,1
8715,0.92,1.0,1,0.0,2,8.0,3.0,5.0,52,0,0,0,0,0,0,0,0,1,0,0,0
1820,0.5579999999999999,1.0,1,0.0,4,13.0,2.0,5.0,142,0,0,0,0,0,1,0,0,0,0,0,1
19063,0.624,1.0,1,0.0,3,3.0,3.0,1.0,76,0,0,0,0,0,1,0,0,0,0,0,1
29188,0.8270000000000001,0.5,0,1.0,3,10.0,3.2533282904689864,1.0,50,0,0,0,0,0,1,0,0,0,0,1,0
22649,0.91,0.5,0,0.0,2,0.0,3.2533282904689864,0.0,143,0,0,0,0,0,0,0,0,0,0,0,0
28373,0.92,1.0,0,1.0,3,2.0,3.2533282904689864,1.0,32,0,0,0,0,0,1,0,0,0,0,0,0
22620,0.624,0.5,1,0.0,3,8.0,2.0,5.0,80,0,0,0,0,0,1,0,0,0,0,0,1
14877,0.899,0.0,1,0.0,4,16.0,7.0,5.0,50,0,0,0,0,0,1,0,0,0,0,0,1
20678,0.91,0.5,0,0.0,3,3.0,0.0,2.0,24,0,0,0,1,0,0,0,0,0,0,0,1
23295,0.738,1.0,1,0.0,4,12.0,3.0,1.0,216,0,0,0,0,0,1,0,0,0,0,0,1
23755,0.6890000000000001,1.0,1,0.0,3,16.0,1.0,5.0,140,0,0,0,0,0,1,0,0,0,0,0,1
11804,0.83,1.0,1,0.0,4,11.0,1.0,2.0,116,0,0,0,0,0,1,0,1,0,0,0,0
17483,0.926,1.0,0,1.0,4,5.0,3.2533282904689864,1.0,10,0,0,0,0,0,1,0,0,0,0,0,0
8348,0.925,1.0,1,0.0,4,9.0,4.0,5.0,272,0,0,0,0,0,1,0,0,0,0,0,1
9737,0.92,1.0,1,0.0,4,21.0,4.0,1.0,78,0,0,1,0,0,0,0,0,0,0,0,1
32001,0.92,0.5,1,0.0,3,11.0,0.0,5.0,11,0,1,0,0,0,0,0,0,0,0,0,1
32827,0.624,1.0,1,0.0,4,5.0,3.2533282904689864,1.0,41,0,0,0,0,0,1,0,0,0,0,0,0
19803,0.91,0.5,1,0.0,3,4.0,3.0,1.0,16,0,1,0,0,0,0,0,0,0,0,0,1
6812,0.6659999999999999,1.0,1,0.0,3,6.0,2.0,1.0,110,0,0,0,0,0,1,0,0,0,0,0,1
5680,0.855,1.0,1,0.0,4,17.0,3.2533282904689864,1.0,9,0,0,0,0,0,1,0,0,0,0,0,0
29297,0.624,0.5,1,0.0,3,8.0,2.0,1.0,58,0,0,0,0,0,1,0,0,0,0,0,1
18791,0.624,0.5,1,0.0,3,3.0,3.0,1.0,77,0,0,0,0,0,1,0,0,0,0,0,1
18041,0.742,1.0,1,0.0,3,7.0,2.0,1.0,127,0,0,0,0,0,1,0,0,0,0,0,1
31432,0.624,1.0,1,0.0,3,3.0,5.0,0.0,43,0,0,0,0,0,1,0,0,0,0,0,1
15778,0.913,1.0,1,0.0,3,15.0,1.0,1.0,15,0,0,0,0,0,1,0,0,0,0,0,1
27025,0.91,0.5,0,0.0,1,2.0,3.2533282904689864,0.0,150,0,0,0,0,0,0,0,0,0,0,0,0
32473,0.91,1.0,1,0.0,3,21.0,7.0,5.0,4,0,0,0,0,0,1,0,0,0,0,0,1
30594,0.92,1.0,1,0.0,4,21.0,5.0,5.0,30,0,0,0,0,0,1,0,0,0,1,0,0
31645,0.624,0.5,1,0.0,4,8.0,1.0,1.0,61,0,0,0,0,0,1,0,1,0,0,0,0
21569,0.6659999999999999,0.5,1,0.5,2,8.0,0.0,5.0,192,0,0,0,0,0,0,0,0,0,0,0,1
23480,0.925,1.0,1,0.0,3,21.0,1.0,0.0,120,0,0,0,0,0,1,0,0,0,0,0,1
23659,0.624,1.0,0,1.0,2,3.0,3.2533282904689864,1.0,51,0,0,0,0,0,0,0,0,0,0,0,0
19453,0.83,1.0,1,0.0,4,9.0,2.0,1.0,66,0,0,0,0,0,1,0,0,0,0,0,1
21893,0.897,1.0,1,0.0,4,21.0,2.0,1.0,26,0,0,0,0,0,1,0,1,0,0,0,0
13083,0.926,1.0,1,0.0,4,10.0,2.0,5.0,29,0,0,0,0,0,1,0,0,0,0,0,1
22800,0.8270000000000001,1.0,1,1.0,2,4.0,2.0,1.0,18,0,0,0,0,0,0,1,0,0,0,0,0
